着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,2,カフェファラオ,American Pharoah,Mary s Follies,牡,4,10,C.ルメール,1,堀宣行,ダート,左,1600m,晴,良
2,5,エアスピネル,キングカメハメハ,エアメサイア,牡,8,-4,鮫島克駿,9,笹田和秀,ダート,左,1600m,晴,良
3,4,ワンダーリーデル,スタチューオブリバティ,アストレアピース,牡,8,2,横山典弘,8,安田翔伍,ダート,左,1600m,晴,良
4,8,レッドルゼル,ロードカナロア,フレンチノワール,牡,5,-4,川田将雅,3,安田隆行,ダート,左,1600m,晴,良
5,1,エアアルマス,Majestic Warrior,Nokaze,牡,6,4,松山弘平,10,池添学,ダート,左,1600m,晴,良
6,1,インティ,ケイムホーム,キティ,牡,7,-6,武豊,7,野中賢二,ダート,左,1600m,晴,良
7,8,ミューチャリー,パイロ,ゴッドビラブドミー,牡,5,-7,御神本訓史,13,矢野義幸,ダート,左,1600m,晴,良
8,7,ソリストサンダー,トビーズコーナー,ラヴソースウィート,牡,6,8,北村宏司,5,高柳大輔,ダート,左,1600m,晴,良
9,3,アルクトス,アドマイヤオーラ,ホシニイノリヲ,牡,6,-4,田辺裕信,2,栗田徹,ダート,左,1600m,晴,良
10,6,ヤマニンアンプリメ,シニスターミニスター,ヤマニンエリプス,牝,7,-2,横山武史,14,長谷川浩大,ダート,左,1600m,晴,良
11,5,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,牡,7,8,松若風馬,4,音無秀孝,ダート,左,1600m,晴,良
12,6,スマートダンディー,エンパイアメーカー,スマートオーシャン,牡,7,-4,秋山真一郎,16,石橋守,ダート,左,1600m,晴,良
13,7,オーヴェルニュ,スマートファルコン,ギュイエンヌ,牡,5,-16,丸山元気,6,西村真幸,ダート,左,1600m,晴,良
14,4,ワイドファラオ,ヘニーヒューズ,ワイドサファイア,牡,5,8,福永祐一,11,角居勝彦,ダート,左,1600m,晴,良
15,3,サクセスエナジー,キンシャサノキセキ,サクセスアイニー,牡,7,0,酒井学,15,北出成人,ダート,左,1600m,晴,良
16,2,ヘリオス,オルフェーヴル,アンジュシュエット,せん,5,-4,M.デムーロ,12,寺島良,ダート,左,1600m,晴,良
1,7,ダノンスマッシュ,ロードカナロア,スピニングワイルドキャット,牡,6,3,川田将雅,2,安田隆行,芝,左,1200m,雨,重
2,8,レシステンシア,ダイワメジャー,マラコスタムブラダ,牝,4,-2,浜中俊,1,松下武士,芝,左,1200m,雨,重
3,5,インディチャンプ,ステイゴールド,ウィルパワー,牡,6,-6,福永祐一,3,音無秀孝,芝,左,1200m,雨,重
4,7,トゥラヴェスーラ,ドリームジャーニー,ジャジャマーチャン,牡,6,-6,鮫島克駿,16,高橋康之,芝,左,1200m,雨,重
5,2,モズスーパーフレア,Speightstown,Christies Treasure,牝,6,-2,松若風馬,6,音無秀孝,芝,左,1200m,雨,重
6,8,サウンドキアラ,ディープインパクト,サウンドバリアー,牝,6,6,松山弘平,7,安達昭夫,芝,左,1200m,雨,重
7,4,エイティーンガール,ヨハネスブルグ,センターグランタス,牝,5,2,酒井学,12,飯田祐史,芝,左,1200m,雨,重
8,7,マルターズディオサ,キズナ,トップオブドーラ,牝,4,2,田辺裕信,9,手塚貴久,芝,左,1200m,雨,重
9,6,セイウンコウセイ,アドマイヤムーン,オブザーヴァント,牡,8,4,幸英明,13,上原博之,芝,左,1200m,雨,重
10,8,ミッキーブリランテ,ディープブリランテ,エピックラヴ,牡,5,4,和田竜二,11,矢作芳人,芝,左,1200m,雨,重
11,3,ダイメイフジ,アグネスデジタル,ダイメイダーク,牡,7,10,菱田裕二,18,森田直行,芝,左,1200m,雨,重
12,3,ダノンファンタジー,ディープインパクト,ライフフォーセール,牝,5,-6,藤岡佑介,8,中内田充正,芝,左,1200m,雨,重
13,4,アストラエンブレム,ダイワメジャー,ブラックエンブレム,せん,8,0,杉原誠人,17,小島茂之,芝,左,1200m,雨,重
14,5,ラウダシオン,リアルインパクト,アンティフォナ,牡,4,0,M.デムーロ,5,斉藤崇史,芝,左,1200m,雨,重
15,6,カツジ,ディープインパクト,メリッサ,牡,6,2,中井裕二,14,池添兼雄,芝,左,1200m,雨,重
16,1,アウィルアウェイ,ジャスタウェイ,ウィルパワー,牝,5,4,吉田隼人,15,高野友和,芝,左,1200m,雨,重
17,2,ライトオンキュー,Shamardal,グレイトタイミング,牡,6,4,横山典弘,4,昆貢,芝,左,1200m,雨,重
18,1,レッドアンシェル,マンハッタンカフェ,スタイルリスティック,牡,7,4,池添謙一,10,庄野靖志,芝,左,1200m,雨,重
1,6,レイパパレ,ディープインパクト,シェルズレイ,牝,4,-2,川田将雅,4,高野友和,芝,右,2000m,雨,重
2,1,モズベッロ,ディープブリランテ,ハーランズルビー,牡,5,2,池添謙一,6,森田直行,芝,右,2000m,雨,重
3,5,コントレイル,ディープインパクト,ロードクロサイト,牡,4,16,福永祐一,1,矢作芳人,芝,右,2000m,雨,重
4,8,グランアレグリア,ディープインパクト,タピッツフライ,牝,5,-6,C.ルメール,2,藤沢和雄,芝,右,2000m,雨,重
5,2,サリオス,ハーツクライ,サロミナ,牡,4,0,松山弘平,3,堀宣行,芝,右,2000m,雨,重
6,7,カデナ,ディープインパクト,フレンチリヴィエラ,牡,7,8,鮫島克駿,11,中竹和也,芝,右,2000m,雨,重
7,3,アーデントリー,エイシンフラッシュ,パリュール,牡,5,4,和田竜二,12,川村禎彦,芝,右,2000m,雨,重
8,4,ブラヴァス,キングカメハメハ,ヴィルシーナ,牡,5,-4,三浦皇成,10,友道康夫,芝,右,2000m,雨,重
9,8,アドマイヤビルゴ,ディープインパクト,イルーシヴウェーヴ,牡,4,0,岩田望来,7,友道康夫,芝,右,2000m,雨,重
10,4,ペルシアンナイト,ハービンジャー,オリエントチャーム,牡,7,-2,幸英明,9,池江泰寿,芝,右,2000m,雨,重
11,6,クレッシェンドラヴ,ステイゴールド,ハイアーラヴ,牡,7,-2,内田博幸,8,林徹,芝,右,2000m,雨,重
12,5,ワグネリアン,ディープインパクト,ミスアンコール,牡,6,0,吉田隼人,5,友道康夫,芝,右,2000m,雨,重
13,7,ハッピーグリン,ローエングリン,レディセラヴィ,牡,6,-6,団野大成,13,森秀行,芝,右,2000m,雨,重
1,2,ソダシ,クロフネ,ブチコ,牝,3,0,吉田隼人,2,須貝尚介,芝,右,1600m,晴,良
2,8,サトノレイナス,ディープインパクト,バラダセール,牝,3,0,C.ルメール,1,国枝栄,芝,右,1600m,晴,良
3,1,ファインルージュ,キズナ,パシオンルージュ,牝,3,-4,福永祐一,8,木村哲也,芝,右,1600m,晴,良
4,3,アカイトリノムスメ,ディープインパクト,アパパネ,牝,3,-6,横山武史,4,国枝栄,芝,右,1600m,晴,良
