着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
5,5,アールドヴィーヴル,キングカメハメハ,イサベル,牝,3,-6,M.デムーロ,5,今野貞一,芝,右,1600m,晴,良
6,4,ククナ,キングカメハメハ,クルミナル,牝,3,-6,藤岡佑介,9,栗田徹,芝,右,1600m,晴,良
7,3,ストゥーティ,モーリス,リラヴァティ,牝,3,0,岩田康誠,14,奥村豊,芝,右,1600m,晴,良
8,5,エンスージアズム,ディープインパクト,ゼラスキャット,牝,3,2,岩田望来,15,安田翔伍,芝,右,1600m,晴,良
9,8,ホウオウイクセル,ルーラーシップ,メジロオードリー,牝,3,-2,丸田恭介,16,高柳瑞樹,芝,右,1600m,晴,良
10,7,ミニーアイル,ミッキーアイル,アイランドファッション,牝,3,-12,藤岡康太,17,武幸四郎,芝,右,1600m,晴,良
11,6,ジネストラ,ロードカナロア,ハッピーパス,牝,3,2,北村宏司,12,鹿戸雄一,芝,右,1600m,晴,良
12,1,ストライプ,ルーラーシップ,グレイスフラワー,牝,3,-12,田辺裕信,13,尾形和幸,芝,右,1600m,晴,良
13,7,エリザベスタワー,Kingman,Turfdonna,牝,3,2,川田将雅,6,高野友和,芝,右,1600m,晴,良
14,2,ブルーバード,リーチザクラウン,エーシンベタラネリ,牝,3,-2,柴田大知,18,高橋祥泰,芝,右,1600m,晴,良
15,8,ソングライン,キズナ,ルミナスパレード,牝,3,-2,池添謙一,7,林徹,芝,右,1600m,晴,良
16,7,シゲルピンクルビー,モーリス,ムーンライトベイ,牝,3,-2,和田竜二,10,渡辺薫彦,芝,右,1600m,晴,良
17,6,ヨカヨカ,スクワートルスクワート,ハニーダンサー,牝,3,-2,幸英明,11,谷潔,芝,右,1600m,晴,良
18,4,メイケイエール,ミッキーアイル,シロインジャー,牝,3,-4,横山典弘,3,武英智,芝,右,1600m,晴,良
1,6,メイショウダッサイ,スズカマンボ,スズカブルーム,牡,8,4,森一馬,1,飯田祐史,障害,芝,4250m,曇,良
2,2,ケンホファヴァルト,マーベラスサンデー,エイシンパンジー,牡,8,6,熊沢重文,5,森秀行,障害,芝,4250m,曇,良
3,3,タガノエスプレッソ,ブラックタイド,タガノレヴェントン,牡,9,6,植野貴也,3,五十嵐忠男,障害,芝,4250m,曇,良
4,7,スマートアペックス,ハーツクライ,スマートムービー,牡,4,-12,中村将之,4,浅見秀一,障害,芝,4250m,曇,良
5,4,オジュウチョウサン,ステイゴールド,シャドウシルエット,牡,10,-6,石神深一,2,和田正一郎,障害,芝,4250m,曇,良
6,5,マイネルプロンプト,マツリダゴッホ,コスモクラッベ,せん,9,0,北沢伸也,8,坂口智康,障害,芝,4250m,曇,良
7,1,ヒロシゲセブン,ディープブリランテ,ダイイチボタン,牡,6,4,高田潤,6,北出成人,障害,芝,4250m,曇,良
8,8,シンキングダンサー,コンデュイット,スプリングボード,せん,8,-6,五十嵐雄祐,7,武市康男,障害,芝,4250m,曇,良
1,4,エフフォーリア,エピファネイア,ケイティーズハート,牡,3,-10,横山武史,2,鹿戸雄一,芝,右,2000m,晴,稍重
2,7,タイトルホルダー,ドゥラメンテ,メーヴェ,牡,3,-4,田辺裕信,8,栗田徹,芝,右,2000m,晴,稍重
3,2,ステラヴェローチェ,バゴ,オーマイベイビー,牡,3,0,吉田隼人,6,須貝尚介,芝,右,2000m,晴,稍重
4,1,アドマイヤハダル,ロードカナロア,スウェアトウショウ,牡,3,-2,C.ルメール,3,大久保龍志,芝,右,2000m,晴,稍重
5,3,ヨーホーレイク,ディープインパクト,クロウキャニオン,牡,3,-2,岩田望来,11,友道康夫,芝,右,2000m,晴,稍重
6,8,グラティアス,ハーツクライ,マラコスタムブラダ,牡,3,2,M.デムーロ,7,加藤征弘,芝,右,2000m,晴,稍重
7,6,ディープモンスター,ディープインパクト,シスタリーラヴ,牡,3,-8,戸崎圭太,10,池江泰寿,芝,右,2000m,晴,稍重
8,8,レッドベルオーブ,ディープインパクト,レッドファンタジア,牡,3,2,福永祐一,9,藤原英昭,芝,右,2000m,晴,稍重
9,3,ヴィクティファルス,ハーツクライ,ヴィルジニア,牡,3,-2,池添謙一,4,池添学,芝,右,2000m,晴,稍重
10,2,イルーシヴパンサー,ハーツクライ,イルーシヴキャット,牡,3,2,大野拓弥,15,久保田貴士,芝,右,2000m,晴,稍重
11,5,シュヴァリエローズ,ディープインパクト,ヴィアンローズ,牡,3,-4,三浦皇成,13,清水久詞,芝,右,2000m,晴,稍重
12,6,ワールドリバイバル,エピファネイア,セシリア,牡,3,0,菱田裕二,14,牧田和弥,芝,右,2000m,晴,稍重
13,5,ラーゴム,オルフェーヴル,シュガーショック,牡,3,4,北村友一,5,斉藤崇史,芝,右,2000m,晴,稍重
14,1,ルーパステソーロ,ゴールドシップ,ハピネスフォーユー,牡,3,0,木幡巧也,16,加藤士津八,芝,右,2000m,晴,稍重
15,4,ダノンザキッド,ジャスタウェイ,エピックラヴ,牡,3,-8,川田将雅,1,安田隆行,芝,右,2000m,晴,稍重
16,7,アサマノイタズラ,ヴィクトワールピサ,ハイタッチクイーン,牡,3,-6,嶋田純次,12,手塚貴久,芝,右,2000m,晴,稍重
1,1,ワールドプレミア,ディープインパクト,マンデラ,牡,5,-2,福永祐一,3,友道康夫,芝,右,3200m,晴,良
2,6,ディープボンド,キズナ,ゼフィランサス,牡,4,0,和田竜二,1,大久保龍志,芝,右,3200m,晴,良
3,2,カレンブーケドール,ディープインパクト,ソラリア,牝,5,2,戸崎圭太,4,国枝栄,芝,右,3200m,晴,良
4,1,アリストテレス,エピファネイア,ブルーダイアモンド,牡,4,-6,C.ルメール,2,音無秀孝,芝,右,3200m,晴,良
5,7,ウインマリリン,スクリーンヒーロー,コスモチェーロ,牝,4,6,横山武史,8,手塚貴久,芝,右,3200m,晴,良
6,3,ディアスティマ,ディープインパクト,スウィートリーズン,牡,4,-10,坂井瑠星,7,高野友和,芝,右,3200m,晴,良
7,4,ユーキャンスマイル,キングカメハメハ,ムードインディゴ,牡,6,0,藤岡佑介,5,友道康夫,芝,右,3200m,晴,良
8,3,マカヒキ,ディープインパクト,ウィキウィキ,牡,8,2,藤岡康太,12,友道康夫,芝,右,3200m,晴,良
9,7,ナムラドノヴァン,ディープブリランテ,パンカティリオ,牡,6,0,内田博幸,11,杉山晴紀,芝,右,3200m,晴,良
10,8,オーソリティ,オルフェーヴル,ロザリンド,牡,4,-4,川田将雅,6,木村哲也,芝,右,3200m,晴,良
11,8,メロディーレーン,オルフェーヴル,メーヴェ,牝,5,-4,池添謙一,16,森田直行,芝,右,3200m,晴,良
12,5,ゴースト,ハーツクライ,ガヴィオラ,せん,5,0,鮫島克駿,14,橋口慎介,芝,右,3200m,晴,良
13,8,オセアグレイト,オルフェーヴル,ブルーダヌーブ,牡,5,0,横山典弘,9,菊川正達,芝,右,3200m,晴,良
14,6,メイショウテンゲン,ディープインパクト,メイショウベルーガ,牡,5,2,酒井学,13,池添兼雄,芝,右,3200m,晴,良
15,4,ディバインフォース,ワークフォース,ツクバビューティ,牡,5,-8,武豊,10,寺島良,芝,右,3200m,晴,良
16,2,シロニイ,キングカメハメハ,シラユキヒメ,牡,7,-4,松若風馬,17,池江泰寿,芝,右,3200m,晴,良
17,5,ジャコマル,ダノンシャンティ,ピュアウィンク,牡,7,-4,横山和生,15,松永幹夫,芝,右,3200m,晴,良
1,7,シュネルマイスター,Kingman,Serienholde,牡,3,0,C.ルメール,2,手塚貴久,芝,左,1600m,晴,良
2,5,ソングライン,キズナ,ルミナスパレード,牝,3,2,池添謙一,7,林徹,芝,左,1600m,晴,良
3,4,グレナディアガーズ,Frankel,ウェイヴェルアベニュー,牡,3,2,川田将雅,1,中内田充正,芝,左,1600m,晴,良
4,3,リッケンバッカー,ロードカナロア,シティウェルズ,牡,3,-2,横山武史,11,西村真幸,芝,左,1600m,晴,良
5,8,ロードマックス,ディープインパクト,パーフェクトトリビュート,牡,3,4,岩田望来,15,藤原英昭,芝,左,1600m,晴,良
6,4,タイムトゥヘヴン,ロードカナロア,キストゥヘヴン,牡,3,2,M.デムーロ,8,戸田博文,芝,左,1600m,晴,良
7,1,アナザーリリック,リオンディーズ,アンソロジー,牝,3,12,津村明秀,10,林徹,芝,左,1600m,晴,良
8,6,ランドオブリバティ,ディープインパクト,ドバウィハイツ,牡,3,-2,石橋脩,9,鹿戸雄一,芝,左,1600m,晴,良
9,7,ホウオウアマゾン,キングカメハメハ,ヒカルアマランサス,牡,3,-10,武豊,4,矢作芳人,芝,左,1600m,晴,良
10,2,ルークズネスト,モーリス,ヴィラ,牡,3,-4,幸英明,5,浜田多実雄,芝,左,1600m,晴,良
11,6,ヴェイルネビュラ,ロードカナロア,リングネブラ,牡,3,0,戸崎圭太,13,大竹正博,芝,左,1600m,晴,良
12,8,ピクシーナイト,モーリス,ピクシーホロウ,牡,3,2,福永祐一,6,音無秀孝,芝,左,1600m,晴,良
13,7,ショックアクション,Gleneagles,Reset In Blue,牡,3,0,田辺裕信,14,大久保龍志,芝,左,1600m,晴,良
14,3,シティレインボー,エピファネイア,シージョー,牡,3,-4,三浦皇成,17,池添兼雄,芝,左,1600m,晴,良
15,1,レイモンドバローズ,ヴィクトワールピサ,レッドレイチェル,牡,3,6,浜中俊,12,上村洋行,芝,左,1600m,晴,良
16,5,ゴールドチャリス,トゥザワールド,シルバーチャリス,牝,3,-12,田中勝春,18,武幸四郎,芝,左,1600m,晴,良
17,8,グレイイングリーン,ディープインパクト,リトルゲルダ,牡,3,0,武藤雅,16,池江泰寿,芝,左,1600m,晴,良
1,3,グランアレグリア,ディープインパクト,タピッツフライ,牝,5,2,C.ルメール,1,藤沢和雄,芝,左,1600m,曇,良
2,4,ランブリングアレー,ディープインパクト,ブルーミングアレー,牝,5,-8,吉田隼人,10,友道康夫,芝,左,1600m,曇,良
3,1,マジックキャッスル,ディープインパクト,ソーマジック,牝,4,4,戸崎圭太,5,国枝栄,芝,左,1600m,曇,良
4,7,ディアンドル,ルーラーシップ,グリューネワルト,牝,5,-6,団野大成,14,奥村豊,芝,左,1600m,曇,良
5,1,シゲルピンクダイヤ,ダイワメジャー,ムーンライトベイ,牝,5,4,和田竜二,13,渡辺薫彦,芝,左,1600m,曇,良
6,8,レシステンシア,ダイワメジャー,マラコスタムブラダ,牝,4,-2,武豊,2,松下武士,芝,左,1600m,曇,良
7,6,ダノンファンタジー,ディープインパクト,ライフフォーセール,牝,5,2,藤岡佑介,9,中内田充正,芝,左,1600m,曇,良
8,3,デゼル,ディープインパクト,アヴニールセルタン,牝,4,2,川田将雅,4,友道康夫,芝,左,1600m,曇,良
9,4,マルターズディオサ,キズナ,トップオブドーラ,牝,4,-2,田辺裕信,7,手塚貴久,芝,左,1600m,曇,良
10,2,クリスティ,キズナ,ホワイトアルバム,牝,4,2,斎藤新,15,杉山晴紀,芝,左,1600m,曇,良
11,6,サウンドキアラ,ディープインパクト,サウンドバリアー,牝,6,-4,松山弘平,6,安達昭夫,芝,左,1600m,曇,良
12,5,レッドベルディエス,ディープインパクト,レッドファンタジア,牝,5,12,石橋脩,17,鹿戸雄一,芝,左,1600m,曇,良
13,8,リアアメリア,ディープインパクト,リアアントニア,牝,4,-6,福永祐一,8,中内田充正,芝,左,1600m,曇,良
14,5,テルツェット,ディープインパクト,ラッドルチェンド,牝,4,8,M.デムーロ,3,和田正一郎,芝,左,1600m,曇,良
15,8,スマイルカナ,ディープインパクト,エーシンクールディ,牝,4,6,柴田大知,12,高橋祥泰,芝,左,1600m,曇,良
16,7,アフランシール,ハーツクライ,ルシュクル,牝,5,8,大野拓弥,18,尾関知人,芝,左,1600m,曇,良
17,7,プールヴィル,Le Havre,ケンホープ,牝,5,-14,三浦皇成,11,庄野靖志,芝,左,1600m,曇,良
18,2,イベリス,ロードカナロア,セレブラール,牝,5,0,酒井学,16,角田晃一,芝,左,1600m,曇,良
1,5,ユーバーレーベン,ゴールドシップ,マイネテレジア,牝,3,8,M.デムーロ,3,手塚貴久,芝,左,2400m,晴,良
2,4,アカイトリノムスメ,ディープインパクト,アパパネ,牝,3,6,C.ルメール,2,国枝栄,芝,左,2400m,晴,良
3,4,ハギノピリナ,キズナ,ハギノアーク,牝,3,0,藤懸貴志,16,高野友和,芝,左,2400m,晴,良
4,2,タガノパッション,キングカメハメハ,アドマイヤシルク,牝,3,0,岩田康誠,10,鮫島一歩,芝,左,2400m,晴,良
5,7,アールドヴィーヴル,キングカメハメハ,イサベル,牝,3,0,松山弘平,7,今野貞一,芝,左,2400m,晴,良
6,6,ミヤビハイディ,エピファネイア,ミヤビキラメキ,牝,3,-10,吉田豊,17,高橋文雅,芝,左,2400m,晴,良
7,1,ククナ,キングカメハメハ,クルミナル,牝,3,2,横山武史,8,栗田徹,芝,左,2400m,晴,良
8,6,ソダシ,クロフネ,ブチコ,牝,3,0,吉田隼人,1,須貝尚介,芝,左,2400m,晴,良
9,1,スルーセブンシーズ,ドリームジャーニー,マイティースルー,牝,3,-6,戸崎圭太,9,尾関知人,芝,左,2400m,晴,良
10,2,パープルレディー,ディープインパクト,メリッサ,牝,3,2,田辺裕信,12,奥村武,芝,左,2400m,晴,良
11,7,ファインルージュ,キズナ,パシオンルージュ,牝,3,6,福永祐一,4,木村哲也,芝,左,2400m,晴,良
12,8,スライリー,オルフェーヴル,ビジョナリー,牝,3,2,石川裕紀人,15,相沢郁,芝,左,2400m,晴,良
13,8,ステラリア,キズナ,ポリネイター,牝,3,0,川田将雅,5,斉藤崇史,芝,左,2400m,晴,良
14,3,クールキャット,スクリーンヒーロー,メジロトンキニーズ,牝,3,4,武豊,6,奥村武,芝,左,2400m,晴,良
15,3,ウインアグライア,マツリダゴッホ,ウインアルテミス,牝,3,-2,和田竜二,13,和田雄二,芝,左,2400m,晴,良
16,8,ニーナドレス,ハーツクライ,サラトガ,牝,3,0,藤岡康太,11,友道康夫,芝,左,2400m,晴,良
17,7,ストライプ,ルーラーシップ,グレイスフラワー,牝,3,4,柴田善臣,18,尾形和幸,芝,左,2400m,晴,良
18,5,エンスージアズム,ディープインパクト,ゼラスキャット,牝,3,2,岩田望来,14,安田翔伍,芝,左,2400m,晴,良
1,5,シャフリヤール,ディープインパクト,ドバイマジェスティ,牡,3,-4,福永祐一,4,藤原英昭,芝,左,2400m,晴,良
2,1,エフフォーリア,エピファネイア,ケイティーズハート,牡,3,6,横山武史,1,鹿戸雄一,芝,左,2400m,晴,良
3,6,ステラヴェローチェ,バゴ,オーマイベイビー,牡,3,-12,吉田隼人,9,須貝尚介,芝,左,2400m,晴,良
4,7,グレートマジシャン,ディープインパクト,ナイトマジック,牡,3,4,戸崎圭太,3,宮田敬介,芝,左,2400m,晴,良
5,8,サトノレイナス,ディープインパクト,バラダセール,牝,3,0,C.ルメール,2,国枝栄,芝,左,2400m,晴,良
6,7,タイトルホルダー,ドゥラメンテ,メーヴェ,牡,3,2,田辺裕信,8,栗田徹,芝,左,2400m,晴,良
7,4,ヨーホーレイク,ディープインパクト,クロウキャニオン,牡,3,0,川田将雅,6,友道康夫,芝,左,2400m,晴,良
8,4,グラティアス,ハーツクライ,マラコスタムブラダ,牡,3,-4,松山弘平,10,加藤征弘,芝,左,2400m,晴,良
9,3,バジオウ,ルーラーシップ,フローレスダンサー,牡,3,2,大野拓弥,15,田中博康,芝,左,2400m,晴,良
10,6,ワンダフルタウン,ルーラーシップ,シーオブラブ,牡,3,4,和田竜二,5,高橋義忠,芝,左,2400m,晴,良
11,2,レッドジェネシス,ディープインパクト,リュズキナ,牡,3,2,横山典弘,13,友道康夫,芝,左,2400m,晴,良
12,5,ラーゴム,オルフェーヴル,シュガーショック,牡,3,-10,浜中俊,16,斉藤崇史,芝,左,2400m,晴,良
13,2,タイムトゥヘヴン,ロードカナロア,キストゥヘヴン,牡,3,-6,石橋脩,17,戸田博文,芝,左,2400m,晴,良
14,1,ヴィクティファルス,ハーツクライ,ヴィルジニア,牡,3,-4,池添謙一,14,池添学,芝,左,2400m,晴,良
15,8,バスラットレオン,キズナ,バスラットアマル,牡,3,2,藤岡佑介,12,矢作芳人,芝,左,2400m,晴,良
16,3,ディープモンスター,ディープインパクト,シスタリーラヴ,牡,3,10,武豊,7,池江泰寿,芝,左,2400m,晴,良
17,8,アドマイヤハダル,ロードカナロア,スウェアトウショウ,牡,3,0,M.デムーロ,11,大久保龍志,芝,左,2400m,晴,良
1,7,ダノンキングリー,ディープインパクト,マイグッドネス,牡,5,6,川田将雅,8,萩原清,芝,左,1600m,曇,良
2,4,グランアレグリア,ディープインパクト,タピッツフライ,牝,5,4,C.ルメール,1,藤沢和雄,芝,左,1600m,曇,良
3,8,シュネルマイスター,Kingman,Serienholde,牡,3,-6,横山武史,4,手塚貴久,芝,左,1600m,曇,良
4,5,インディチャンプ,ステイゴールド,ウィルパワー,牡,6,6,福永祐一,2,音無秀孝,芝,左,1600m,曇,良
5,6,トーラスジェミニ,キングズベスト,エリモエトワール,牡,5,-4,戸崎圭太,13,小桧山悟,芝,左,1600m,曇,良
6,6,カデナ,ディープインパクト,フレンチリヴィエラ,牡,7,-4,武豊,14,中竹和也,芝,左,1600m,曇,良
7,4,ダノンプレミアム,ディープインパクト,インディアナギャル,牡,6,10,池添謙一,6,中内田充正,芝,左,1600m,曇,良
8,1,サリオス,ハーツクライ,サロミナ,牡,4,-2,松山弘平,3,堀宣行,芝,左,1600m,曇,良
9,2,ギベオン,ディープインパクト,コンテスティッド,牡,6,0,西村淳也,11,藤原英昭,芝,左,1600m,曇,良
10,7,ケイデンスコール,ロードカナロア,インダクティ,牡,5,0,岩田康誠,5,安田隆行,芝,左,1600m,曇,良
11,3,ダイワキャグニー,キングカメハメハ,トリプレックス,せん,7,-2,石橋脩,12,菊沢隆徳,芝,左,1600m,曇,良
12,8,カテドラル,ハーツクライ,アビラ,牡,5,4,田辺裕信,9,池添学,芝,左,1600m,曇,良
13,3,カラテ,トゥザグローリー,レディーノパンチ,牡,5,-4,菅原明良,10,高橋祥泰,芝,左,1600m,曇,良
14,5,ラウダシオン,リアルインパクト,アンティフォナ,牡,4,2,M.デムーロ,7,斉藤崇史,芝,左,1600m,曇,良
1,5,クロノジェネシス,バゴ,クロノロジスト,牝,5,0,C.ルメール,1,斉藤崇史,芝,右,2200m,晴,良
2,1,ユニコーンライオン,No Nay Never,Muravka,牡,5,-4,坂井瑠星,7,矢作芳人,芝,右,2200m,晴,良
3,2,レイパパレ,ディープインパクト,シェルズレイ,牝,4,10,川田将雅,2,高野友和,芝,右,2200m,晴,良
4,7,カレンブーケドール,ディープインパクト,ソラリア,牝,5,0,戸崎圭太,3,国枝栄,芝,右,2200m,晴,良
5,8,キセキ,ルーラーシップ,ブリッツフィナーレ,牡,7,4,福永祐一,5,辻野泰之,芝,右,2200m,晴,良
6,8,ミスマンマミーア,タニノギムレット,サンデーメモリー,牝,6,0,岩田望来,9,寺島良,芝,右,2200m,晴,良
7,6,カデナ,ディープインパクト,フレンチリヴィエラ,牡,7,2,浜中俊,8,中竹和也,芝,右,2200m,晴,良
8,7,モズベッロ,ディープブリランテ,ハーランズルビー,牡,5,0,池添謙一,6,森田直行,芝,右,2200m,晴,良
9,6,アリストテレス,エピファネイア,ブルーダイアモンド,牡,4,-4,武豊,4,音無秀孝,芝,右,2200m,晴,良
10,4,ワイプティアーズ,ダイワメジャー,ナミダガキラリ,牡,6,-6,和田竜二,13,加用正,芝,右,2200m,晴,良
11,3,メロディーレーン,オルフェーヴル,メーヴェ,牝,5,-2,幸英明,10,森田直行,芝,右,2200m,晴,良
12,4,アドマイヤアルバ,ハーツクライ,エリドゥバビロン,せん,6,-6,酒井学,12,柄崎孝,芝,右,2200m,晴,良
13,5,シロニイ,キングカメハメハ,シラユキヒメ,牡,7,8,松若風馬,11,池江泰寿,芝,右,2200m,晴,良
1,2,ピクシーナイト,モーリス,ピクシーホロウ,牡,3,2,福永祐一,3,音無秀孝,芝,右,1200m,晴,良
2,6,レシステンシア,ダイワメジャー,マラコスタムブラダ,牝,4,-2,C.ルメール,2,松下武士,芝,右,1200m,晴,良
3,1,シヴァージ,First Samurai,Indian Bay,牡,6,6,吉田隼人,10,野中賢二,芝,右,1200m,晴,良
4,3,メイケイエール,ミッキーアイル,シロインジャー,牝,3,-8,池添謙一,7,武英智,芝,右,1200m,晴,良
5,8,モズスーパーフレア,Speightstown,Christies Treasure,牝,6,0,松若風馬,5,音無秀孝,芝,右,1200m,晴,良
6,7,ダノンスマッシュ,ロードカナロア,スピニングワイルドキャット,牡,6,1,川田将雅,1,安田隆行,芝,右,1200m,晴,良
7,4,ビアンフェ,キズナ,ルシュクル,せん,4,4,藤岡佑介,9,中竹和也,芝,右,1200m,晴,良
8,5,クリノガウディー,スクリーンヒーロー,クリノビリオネア,牡,5,0,岩田康誠,6,藤沢則雄,芝,右,1200m,晴,良
