着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,2,ゴールドドリーム,ゴールドアリュール,モンヴェール,牡,4,4,M.デムーロ,2,平田修,ダート,左,1600m,晴,良
2,5,ベストウォーリア,Majestic Warrior,Flirtatious Miss,牡,7,-4,戸崎圭太,5,石坂正,ダート,左,1600m,晴,良
3,5,カフジテイク,プリサイスエンド,テイクザケイク,牡,5,2,津村明秀,1,湯窪幸雄,ダート,左,1600m,晴,良
4,7,エイシンバッケン,ヨハネスブルグ,エーシンラージシー,牡,5,4,岩田康誠,8,中尾秀正,ダート,左,1600m,晴,良
5,6,ニシケンモノノフ,メイショウボーラー,グリーンヒルコマチ,牡,6,-2,横山典弘,14,庄野靖志,ダート,左,1600m,晴,良
6,8,ケイティブレイブ,アドマイヤマックス,ケイティローレル,牡,4,7,幸英明,11,目野哲也,ダート,左,1600m,晴,良
7,6,ノンコノユメ,トワイニング,ノンコ,せん,5,8,C.ルメール,4,加藤征弘,ダート,左,1600m,晴,良
8,1,サウンドトゥルー,フレンチデピュティ,キョウエイトルース,せん,7,-1,柴田善臣,7,高木登,ダート,左,1600m,晴,良
9,1,ホワイトフーガ,クロフネ,マリーンウィナー,牝,5,-1,蛯名正義,10,高木登,ダート,左,1600m,晴,良
10,4,ブライトライン,フジキセキ,シェリーズスマイル,牡,8,0,石橋脩,16,鮫島一歩,ダート,左,1600m,晴,良
11,7,キングズガード,シニスターミニスター,キングスベリー,牡,6,-2,藤岡佑介,13,寺島良,ダート,左,1600m,晴,良
12,3,モーニン,Henny Hughes,Giggly,牡,5,-6,R.ムーア,3,石坂正,ダート,左,1600m,晴,良
13,8,インカンテーション,シニスターミニスター,オリジナルスピン,牡,7,-6,藤岡康太,15,羽月友彦,ダート,左,1600m,晴,良
14,2,コパノリッキー,ゴールドアリュール,コパノニキータ,牡,7,-1,武豊,6,村山明,ダート,左,1600m,晴,良
15,3,アスカノロマン,アグネスデジタル,アスカノヒミコ,牡,6,-6,和田竜二,9,川村禎彦,ダート,左,1600m,晴,良
16,4,デニムアンドルビー,ディープインパクト,ベネンシアドール,牝,7,2,内田博幸,12,角居勝彦,ダート,左,1600m,晴,良
1,3,セイウンコウセイ,アドマイヤムーン,オブザーヴァント,牡,4,0,幸英明,5,上原博之,芝,左,1200m,小雨,稍重
2,2,レッツゴードンキ,キングカメハメハ,マルトク,牝,5,4,岩田康誠,2,梅田智之,芝,左,1200m,小雨,稍重
3,4,レッドファルクス,スウェプトオーヴァーボード,ベルモット,牡,6,7,M.デムーロ,1,尾関知人,芝,左,1200m,小雨,稍重
4,1,ティーハーフ,ストーミングホーム,ビールジャント,牡,7,0,国分優作,16,西浦勝一,芝,左,1200m,小雨,稍重
5,1,フィエロ,ディープインパクト,ルビー,牡,8,2,内田博幸,7,藤原英昭,芝,左,1200m,小雨,稍重
6,7,トーキングドラム,キングカメハメハ,トランシーフレーズ,牡,7,2,藤岡康太,10,斎藤誠,芝,左,1200m,小雨,稍重
7,6,スノードラゴン,アドマイヤコジーン,マイネカプリース,牡,9,-2,大野拓弥,11,高木登,芝,左,1200m,小雨,稍重
8,8,ナックビーナス,ダイワメジャー,レディトゥプリーズ,牝,4,-2,石川裕紀人,12,杉浦宏昭,芝,左,1200m,小雨,稍重
9,7,ソルヴェイグ,ダイワメジャー,アスドゥクール,牝,4,-2,田辺裕信,6,鮫島一歩,芝,左,1200m,小雨,稍重
10,6,メラグラーナ,Fastnet Rock,Ghaliah,牝,5,14,戸崎圭太,3,池添学,芝,左,1200m,小雨,稍重
11,7,ヒルノデイバロー,マンハッタンカフェ,デック,牡,6,6,四位洋文,9,昆貢,芝,左,1200m,小雨,稍重
12,4,バクシンテイオー,サクラバクシンオー,アウトオブザウィム,牡,8,-6,A.シュタルケ,17,堀宣行,芝,左,1200m,小雨,稍重
13,2,ラインスピリット,スウェプトオーヴァーボード,リボンストライプ,牡,6,-10,森一馬,14,松永昌博,芝,左,1200m,小雨,稍重
14,5,クリスマス,バゴ,アラマサスナイパー,牝,6,-10,藤岡佑介,13,伊藤大士,芝,左,1200m,小雨,稍重
15,5,シュウジ,キンシャサノキセキ,カストリア,牡,4,-10,川田将雅,4,須貝尚介,芝,左,1200m,小雨,稍重
16,8,ワンスインナムーン,アドマイヤムーン,ツーデイズノーチス,牝,4,-4,石橋脩,8,斎藤誠,芝,左,1200m,小雨,稍重
17,3,レッドアリオン,アグネスタキオン,エリモピクシー,牡,7,-2,菱田裕二,18,橋口慎介,芝,左,1200m,小雨,稍重
18,8,トウショウピスト,ヨハネスブルグ,シーイズトウショウ,牡,5,0,吉田豊,15,角田晃一,芝,左,1200m,小雨,稍重
