着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
2,4,レッツゴードンキ,キングカメハメハ,マルトク,牝,6,8,岩田康誠,3,梅田智之,芝,左,1200m,晴,良
3,4,ナックビーナス,ダイワメジャー,レディトゥプリーズ,牝,5,-4,三浦皇成,10,杉浦宏昭,芝,左,1200m,晴,良
4,6,ダンスディレクター,アルデバラン2,マザーリーフ,牡,8,-2,武豊,4,笹田和秀,芝,左,1200m,晴,良
5,2,ブリザード,-,-,せん,7,-8,K.ティータン,6,P.イウ,芝,左,1200m,晴,良
6,1,セイウンコウセイ,アドマイヤムーン,オブザーヴァント,牡,5,-14,松田大作,5,上原博之,芝,左,1200m,晴,良
7,7,レーヌミノル,ダイワメジャー,ダイワエンジェル,牝,4,6,和田竜二,7,本田優,芝,左,1200m,晴,良
8,3,レッドファルクス,スウェプトオーヴァーボード,ベルモット,牡,7,-6,M.デムーロ,1,尾関知人,芝,左,1200m,晴,良
9,2,スノードラゴン,アドマイヤコジーン,マイネカプリース,牡,10,-8,大野拓弥,15,高木登,芝,左,1200m,晴,良
10,8,キングハート,オレハマッテルゼ,ラブハート,牡,5,0,北村宏司,12,星野忍,芝,左,1200m,晴,良
11,6,ネロ,ヨハネスブルグ,ニシノタカラヅカ,牡,7,2,F.ミナリク,9,森秀行,芝,左,1200m,晴,良
12,8,シャイニングレイ,ディープインパクト,シェルズレイ,牡,6,-6,北村友一,8,高野友和,芝,左,1200m,晴,良
13,3,ノボバカラ,アドマイヤオーラ,ノボキッス,牡,6,-2,武藤雅,17,天間昭一,芝,左,1200m,晴,良
14,1,リエノテソーロ,Speightstown,Akilina,牝,4,2,吉田隼人,13,武井亮,芝,左,1200m,晴,良
15,8,ラインスピリット,スウェプトオーヴァーボード,リボンストライプ,牡,7,8,森一馬,16,松永昌博,芝,左,1200m,晴,良
16,7,ラインミーティア,メイショウボーラー,アラマサフェアリー,牡,8,-8,西田雄一郎,18,水野貴広,芝,左,1200m,晴,良
17,7,ジューヌエコール,クロフネ,ルミナスポイント,牝,4,-10,福永祐一,14,安田隆行,芝,左,1200m,晴,良
18,5,ダイアナヘイロー,キングヘイロー,ヤマカツセイレーン,牝,5,-8,松山弘平,11,大根田裕之,芝,左,1200m,晴,良
1,8,スワーヴリチャード,ハーツクライ,ピラミマ,牡,4,-4,M.デムーロ,1,庄野靖志,芝,右,2000m,晴,良
2,3,ペルシアンナイト,ハービンジャー,オリエントチャーム,牡,4,0,福永祐一,6,池江泰寿,芝,右,2000m,晴,良
3,4,アルアイン,ディープインパクト,ドバイマジェスティ,牡,4,-6,川田将雅,2,池江泰寿,芝,右,2000m,晴,良
4,2,ヤマカツエース,キングカメハメハ,ヤマカツマリリン,牡,6,-4,池添謙一,10,池添兼雄,芝,右,2000m,晴,良
5,1,ミッキースワロー,トーセンホマレボシ,マドレボニータ,牡,4,-10,横山典弘,5,菊沢隆徳,芝,右,2000m,晴,良
6,7,ダンビュライト,ルーラーシップ,タンザナイト,牡,4,8,浜中俊,8,音無秀孝,芝,右,2000m,晴,良
7,1,サトノダイヤモンド,ディープインパクト,マルペンサ,牡,5,2,戸崎圭太,3,池江泰寿,芝,右,2000m,晴,良
8,5,トリオンフ,タートルボウル,メジロトンキニーズ,せん,4,0,田辺裕信,7,須貝尚介,芝,右,2000m,晴,良
9,3,スマートレイアー,ディープインパクト,スノースタイル,牝,8,-2,四位洋文,11,大久保龍志,芝,右,2000m,晴,良
10,8,メートルダール,ゼンノロブロイ,イグジビットワン,牡,5,-12,松山弘平,14,戸田博文,芝,右,2000m,晴,良
11,6,ヤマカツライデン,シンボリクリスエス,ヤマカツオーキッド,牡,6,-4,酒井学,15,池添兼雄,芝,右,2000m,晴,良
12,6,ウインブライト,ステイゴールド,サマーエタニティ,牡,4,-6,松岡正海,9,畠山吉宏,芝,右,2000m,晴,良
13,2,シュヴァルグラン,ハーツクライ,ハルーワスウィート,牡,6,-4,三浦皇成,4,友道康夫,芝,右,2000m,晴,良
14,7,マサハヤドリーム,メイショウサムソン,ランペイア,牡,6,12,北村友一,16,今野貞一,芝,右,2000m,晴,良
15,5,サトノノブレス,ディープインパクト,クライウィズジョイ,牡,8,0,幸英明,13,池江泰寿,芝,右,2000m,晴,良
16,4,ゴールドアクター,スクリーンヒーロー,ヘイロンシン,牡,7,-18,吉田隼人,12,中川公成,芝,右,2000m,晴,良
1,7,アーモンドアイ,ロードカナロア,フサイチパンドラ,牝,3,-2,C.ルメール,2,国枝栄,芝,右,1600m,晴,良
2,1,ラッキーライラック,オルフェーヴル,ライラックスアンドレース,牝,3,-6,石橋脩,1,松永幹夫,芝,右,1600m,晴,良
3,5,リリーノーブル,ルーラーシップ,ピュアチャプレット,牝,3,0,川田将雅,3,藤岡健一,芝,右,1600m,晴,良
4,4,トーセンブレス,ディープインパクト,ブルーミンバー,牝,3,0,柴田善臣,8,加藤征弘,芝,右,1600m,晴,良
5,8,マウレア,ディープインパクト,バイザキャット,牝,3,2,武豊,4,手塚貴久,芝,右,1600m,晴,良
6,2,リバティハイツ,キングカメハメハ,ドバウィハイツ,牝,3,-2,北村友一,10,高野友和,芝,右,1600m,晴,良
7,3,レッドサクヤ,ディープインパクト,サクラサク2,牝,3,4,松山弘平,12,藤原英昭,芝,右,1600m,晴,良
8,3,スカーレットカラー,ヴィクトワールピサ,ヴェントス,牝,3,-6,岩田康誠,15,高橋亮,芝,右,1600m,晴,良
9,8,ツヅミモン,ストロングリターン,カタマチボタン,牝,3,-10,秋山真一郎,16,藤岡健一,芝,右,1600m,晴,良
10,7,プリモシーン,ディープインパクト,モシーン,牝,3,-4,戸崎圭太,6,木村哲也,芝,右,1600m,晴,良
11,2,アンコールプリュ,ディープインパクト,オイスターチケット,牝,3,-4,藤岡康太,9,友道康夫,芝,右,1600m,晴,良
12,8,フィニフティ,ディープインパクト,ココシュニック,牝,3,-6,福永祐一,5,藤原英昭,芝,右,1600m,晴,良
13,6,デルニエオール,ステイゴールド,オリエンタルアート,牝,3,-2,池添謙一,13,池江泰寿,芝,右,1600m,晴,良
14,4,ハーレムライン,マンハッタンカフェ,マクリス,牝,3,-6,大野拓弥,11,田中清隆,芝,右,1600m,晴,良
15,7,レッドレグナント,ロードカナロア,エンプレスティアラ,牝,3,-2,M.デムーロ,7,大竹正博,芝,右,1600m,晴,良
16,6,コーディエライト,ダイワメジャー,ダークサファイア,牝,3,-8,和田竜二,17,佐々木晶三,芝,右,1600m,晴,良
17,5,アンヴァル,ロードカナロア,アルーリングボイス,牝,3,0,藤岡佑介,14,藤岡健一,芝,右,1600m,晴,良
1,5,オジュウチョウサン,ステイゴールド,シャドウシルエット,牡,7,4,石神深一,1,和田正一郎,障害,芝,4250m,曇,良
2,7,アップトゥデイト,クロフネ,リニアミューズ,牡,8,-2,林満明,2,佐々木晶三,障害,芝,4250m,曇,良
3,3,ニホンピロバロン,フサイチリシャール,ニホンピロアニカ,牡,8,-10,白浜雄造,3,田所秀孝,障害,芝,4250m,曇,良
4,5,ルペールノエル,アドマイヤムーン,サンタママ,牡,8,-8,高田潤,5,藤原英昭,障害,芝,4250m,曇,良
5,7,テイエムオペラドン,テイエムオペラオー,テイエムオーシャン,牡,9,-4,中村将之,11,浜田多実雄,障害,芝,4250m,曇,良
6,6,クランモンタナ,ディープインパクト,エアトゥーレ,牡,9,-10,熊沢重文,8,音無秀孝,障害,芝,4250m,曇,良
7,2,シンキングダンサー,コンデュイット,スプリングボード,牡,5,-2,金子光希,6,武市康男,障害,芝,4250m,曇,良
8,6,メイショウアラワシ,ストーミングホーム,メイショウアゲハ,牡,7,-4,森一馬,9,安達昭夫,障害,芝,4250m,曇,良
9,1,サンレイデューク,デュランダル,サンレイククイン,牡,10,4,難波剛健,7,高橋義忠,障害,芝,4250m,曇,良
10,8,トーセンメリッサ,トーセンブライト,トーセンマドンナ,牝,6,-6,大江原圭,10,小桧山悟,障害,芝,4250m,曇,良
11,8,サムライフォンテン,サムライハート,ヨーカンドパリ,牡,5,4,高野和馬,12,石毛善彦,障害,芝,4250m,曇,良
12,4,マイネルクロップ,クロフネ,グレートハーベスト,牡,8,2,山本康志,4,畠山吉宏,障害,芝,4250m,曇,良
1,4,エポカドーロ,オルフェーヴル,ダイワパッション,牡,3,0,戸崎圭太,7,藤原英昭,芝,右,2000m,曇,稍重
2,7,サンリヴァル,ルーラーシップ,アンフィルージュ,牡,3,-12,藤岡佑介,9,藤岡健一,芝,右,2000m,曇,稍重
3,5,ジェネラーレウーノ,スクリーンヒーロー,シャンハイロック,牡,3,0,田辺裕信,8,矢野英一,芝,右,2000m,曇,稍重
4,8,ステルヴィオ,ロードカナロア,ラルケット,牡,3,-6,C.ルメール,2,木村哲也,芝,右,2000m,曇,稍重
5,3,キタノコマンドール,ディープインパクト,ベネンシアドール,牡,3,12,M.デムーロ,3,池江泰寿,芝,右,2000m,曇,稍重
6,6,グレイル,ハーツクライ,プラチナチャリス,牡,3,0,岩田康誠,10,野中賢二,芝,右,2000m,曇,稍重
7,1,ワグネリアン,ディープインパクト,ミスアンコール,牡,3,2,福永祐一,1,友道康夫,芝,右,2000m,曇,稍重
8,3,アイトーン,キングズベスト,スペシャルディナー,牡,3,-2,国分恭介,12,五十嵐忠男,芝,右,2000m,曇,稍重
9,2,ジャンダルム,Kitten s Joy,Believe,牡,3,8,武豊,4,池江泰寿,芝,右,2000m,曇,稍重
10,1,タイムフライヤー,ハーツクライ,タイムトラベリング,牡,3,-4,内田博幸,6,松田国英,芝,右,2000m,曇,稍重
11,4,ケイティクレバー,ハービンジャー,モルトフェリーチェ,牡,3,-2,浜中俊,11,安田翔伍,芝,右,2000m,曇,稍重
12,5,オウケンムーン,オウケンブルースリ,ムーンフェイズ,牡,3,-4,北村宏司,5,国枝栄,芝,右,2000m,曇,稍重
13,6,マイネルファンロン,ステイゴールド,マイネテレジア,牡,3,2,柴田大知,13,手塚貴久,芝,右,2000m,曇,稍重
14,7,ダブルシャープ,ベーカバド,メジロルーシュバー,牡,3,-6,和田竜二,14,渡辺薫彦,芝,右,2000m,曇,稍重
15,8,ジュンヴァルロ,New Approach,ウェイクミーアップ,牡,3,0,大野拓弥,15,友道康夫,芝,右,2000m,曇,稍重
16,2,スリーヘリオス,ヘニーヒューズ,ラビアンローズ,牡,3,4,柴田善臣,16,村山明,芝,右,2000m,曇,稍重
1,6,レインボーライン,ステイゴールド,レーゲンボーゲン,牡,5,-2,岩田康誠,2,浅見秀一,芝,右,3200m,晴,良
2,6,シュヴァルグラン,ハーツクライ,ハルーワスウィート,牡,6,4,H.ボウマン,1,友道康夫,芝,右,3200m,晴,良
3,4,クリンチャー,ディープスカイ,ザフェイツ,牡,4,2,三浦皇成,4,宮本博,芝,右,3200m,晴,良
4,1,ミッキーロケット,キングカメハメハ,マネーキャントバイミーラヴ,牡,5,-8,和田竜二,9,音無秀孝,芝,右,3200m,晴,良
5,1,チェスナットコート,ハーツクライ,ホワイトヴェール,牡,4,-6,蛯名正義,7,矢作芳人,芝,右,3200m,晴,良
6,8,トーセンバジル,ハービンジャー,ケアレスウィスパー,牡,6,0,M.デムーロ,8,藤原英昭,芝,右,3200m,晴,良
7,8,スマートレイアー,ディープインパクト,スノースタイル,牝,8,-4,四位洋文,12,大久保龍志,芝,右,3200m,晴,良
8,7,アルバート,アドマイヤドン,フォルクローレ,牡,7,-8,C.ルメール,6,堀宣行,芝,右,3200m,晴,良
9,2,シホウ,キングカメハメハ,ゴコウ,牡,7,0,浜中俊,14,笹田和秀,芝,右,3200m,晴,良
10,3,ヤマカツライデン,シンボリクリスエス,ヤマカツオーキッド,牡,6,0,松山弘平,11,池添兼雄,芝,右,3200m,晴,良
11,7,トウシンモンステラ,キングカメハメハ,ピンクパピヨン,牡,8,10,国分恭介,17,村山明,芝,右,3200m,晴,良
12,5,サトノクロニクル,ハーツクライ,トゥーピー,牡,4,2,川田将雅,5,池江泰寿,芝,右,3200m,晴,良
13,5,ソールインパクト,ディープインパクト,クリームオンリー,牡,6,-2,福永祐一,13,戸田博文,芝,右,3200m,晴,良
14,3,ガンコ,ナカヤマフェスタ,シングアップロック,牡,5,2,藤岡佑介,3,松元茂樹,芝,右,3200m,晴,良
15,4,ピンポン,ハーツクライ,ピアニスト,牡,8,0,宮崎北斗,16,粕谷昌央,芝,右,3200m,晴,良
16,2,カレンミロティック,ハーツクライ,スターミー,せん,10,0,池添謙一,10,平田修,芝,右,3200m,晴,良
17,8,トミケンスラーヴァ,タイキシャトル,タイキクララ,牡,8,-8,秋山真一郎,15,竹内正洋,芝,右,3200m,晴,良
1,6,ケイアイノーテック,ディープインパクト,ケイアイガーベラ,牡,3,0,藤岡佑介,6,平田修,芝,左,1600m,晴,良
2,5,ギベオン,ディープインパクト,コンテスティッド,牡,3,6,M.デムーロ,2,藤原英昭,芝,左,1600m,晴,良
3,8,レッドヴェイロン,キングカメハメハ,エリモピクシー,牡,3,4,岩田康誠,9,石坂正,芝,左,1600m,晴,良
4,8,ミスターメロディ,Scat Daddy,Trusty Lady,牡,3,4,福永祐一,7,藤原英昭,芝,左,1600m,晴,良
5,3,プリモシーン,ディープインパクト,モシーン,牝,3,0,戸崎圭太,5,木村哲也,芝,左,1600m,晴,良
6,5,パクスアメリカーナ,クロフネ,グローバルピース,牡,3,2,川田将雅,4,中内田充正,芝,左,1600m,晴,良
7,4,ダノンスマッシュ,ロードカナロア,スピニングワイルドキャット,牡,3,4,北村友一,13,安田隆行,芝,左,1600m,晴,良
8,1,カツジ,ディープインパクト,メリッサ,牡,3,6,松山弘平,8,池添兼雄,芝,左,1600m,晴,良
9,7,デルタバローズ,Into Mischief,Sweet Seventeen,牡,3,-14,石橋脩,16,堀宣行,芝,左,1600m,晴,良
10,7,カシアス,キンシャサノキセキ,ラブディラン,牡,3,2,浜中俊,17,清水久詞,芝,左,1600m,晴,良
11,3,リョーノテソーロ,Justin Phillip,Town Belle,牡,3,-6,吉田隼人,15,武井亮,芝,左,1600m,晴,良
12,4,タワーオブロンドン,Raven s Pass,スノーパイン,牡,3,0,C.ルメール,1,藤沢和雄,芝,左,1600m,晴,良
13,2,フロンティア,ダイワメジャー,グレースランド,牡,3,6,内田博幸,12,中内田充正,芝,左,1600m,晴,良
14,2,テトラドラクマ,ルーラーシップ,リビングプルーフ,牝,3,-4,田辺裕信,3,小西一男,芝,左,1600m,晴,良
15,1,ファストアプローチ,Dawn Approach,ジョリージョコンド,牡,3,-14,蛯名正義,14,藤沢和雄,芝,左,1600m,晴,良
16,7,ルーカス,スクリーンヒーロー,メジロフランシス,牡,3,8,H.ボウマン,10,堀宣行,芝,左,1600m,晴,良
17,6,アンコールプリュ,ディープインパクト,オイスターチケット,牝,3,-2,藤岡康太,18,友道康夫,芝,左,1600m,晴,良
18,8,ロックディスタウン,オルフェーヴル,ストレイキャット,牝,3,-8,池添謙一,11,藤沢和雄,芝,左,1600m,晴,良
1,2,ジュールポレール,ディープインパクト,サマーナイトシティ,牝,5,-6,幸英明,8,西園正都,芝,左,1600m,雨,稍重
2,8,リスグラシュー,ハーツクライ,リリサイド,牝,4,-2,武豊,1,矢作芳人,芝,左,1600m,雨,稍重
3,3,レッドアヴァンセ,ディープインパクト,エリモピクシー,牝,5,4,北村友一,7,音無秀孝,芝,左,1600m,雨,稍重
4,5,アエロリット,クロフネ,アステリックス,牝,4,0,戸崎圭太,3,菊沢隆徳,芝,左,1600m,雨,稍重
5,1,ミスパンテール,ダイワメジャー,エールドクラージュ,牝,4,-2,横山典弘,4,昆貢,芝,左,1600m,雨,稍重
6,1,レッツゴードンキ,キングカメハメハ,マルトク,牝,6,-4,岩田康誠,6,梅田智之,芝,左,1600m,雨,稍重
7,5,ソウルスターリング,Frankel,スタセリタ,牝,4,8,C.ルメール,5,藤沢和雄,芝,左,1600m,雨,稍重
8,6,アドマイヤリード,ステイゴールド,ベルアリュール2,牝,5,-4,M.デムーロ,2,須貝尚介,芝,左,1600m,雨,稍重
9,7,ワントゥワン,ディープインパクト,ワンカラット,牝,5,-8,藤岡佑介,14,藤岡健一,芝,左,1600m,雨,稍重
10,3,レーヌミノル,ダイワメジャー,ダイワエンジェル,牝,4,-2,和田竜二,9,本田優,芝,左,1600m,雨,稍重
11,8,メイズオブオナー,ハーツクライ,キャサリンオブアラゴン,牝,4,4,福永祐一,15,藤原英昭,芝,左,1600m,雨,稍重
12,8,デンコウアンジュ,メイショウサムソン,デンコウラッキー,牝,5,-2,蛯名正義,11,荒川義之,芝,左,1600m,雨,稍重
13,2,ラビットラン,Tapit,Amelia,牝,4,0,川田将雅,12,角居勝彦,芝,左,1600m,雨,稍重
14,4,カワキタエンカ,ディープインパクト,カワキタラブポップ,牝,4,6,大野拓弥,10,浜田多実雄,芝,左,1600m,雨,稍重
15,7,リエノテソーロ,Speightstown,Akilina,牝,4,2,吉田隼人,17,武井亮,芝,左,1600m,雨,稍重
16,7,デアレガーロ,マンハッタンカフェ,スーヴェニアギフト,牝,4,-8,池添謙一,13,大竹正博,芝,左,1600m,雨,稍重
17,6,エテルナミノル,エンパイアメーカー,ダイワジェラート,牝,5,0,四位洋文,16,本田優,芝,左,1600m,雨,稍重
18,4,クインズミラーグロ,マンハッタンカフェ,ジャストトゥートゥー,牝,6,-4,藤岡康太,18,野中賢二,芝,左,1600m,雨,稍重
1,7,アーモンドアイ,ロードカナロア,フサイチパンドラ,牝,3,4,C.ルメール,1,国枝栄,芝,左,2400m,晴,良
2,1,リリーノーブル,ルーラーシップ,ピュアチャプレット,牝,3,-2,川田将雅,4,藤岡健一,芝,左,2400m,晴,良
3,1,ラッキーライラック,オルフェーヴル,ライラックスアンドレース,牝,3,4,石橋脩,2,松永幹夫,芝,左,2400m,晴,良
4,5,レッドサクヤ,ディープインパクト,サクラサク2,牝,3,0,福永祐一,11,藤原英昭,芝,左,2400m,晴,良
5,2,マウレア,ディープインパクト,バイザキャット,牝,3,-2,武豊,6,手塚貴久,芝,左,2400m,晴,良
6,4,サトノワルキューレ,ディープインパクト,ヒアトゥウィン,牝,3,6,M.デムーロ,3,角居勝彦,芝,左,2400m,晴,良
7,6,パイオニアバイオ,ルーラーシップ,アニメイトバイオ,牝,3,0,北村宏司,9,牧光二,芝,左,2400m,晴,良
8,7,ウスベニノキミ,エイシンフラッシュ,ソリッドプラチナム,牝,3,2,三浦皇成,12,鈴木孝志,芝,左,2400m,晴,良
9,3,オールフォーラヴ,ディープインパクト,レディアルバローザ,牝,3,2,和田竜二,5,中内田充正,芝,左,2400m,晴,良
10,8,ロサグラウカ,ルーラーシップ,ローザブランカ,牝,3,8,戸崎圭太,8,尾関知人,芝,左,2400m,晴,良
11,7,ランドネ,Blame,Loure,牝,3,8,内田博幸,10,角居勝彦,芝,左,2400m,晴,良
12,5,シスターフラッグ,ルーラーシップ,ミラクルフラッグ,牝,3,-2,岩田康誠,16,西村真幸,芝,左,2400m,晴,良
13,3,カンタービレ,ディープインパクト,シャンロッサ,牝,3,10,田辺裕信,7,角居勝彦,芝,左,2400m,晴,良
14,4,トーホウアルテミス,ハーツクライ,トーホウガイア,牝,3,6,松若風馬,13,谷潔,芝,左,2400m,晴,良
15,8,ウインラナキラ,キングカメハメハ,コスモプラチナ,牝,3,4,大野拓弥,17,宮徹,芝,左,2400m,晴,良
16,6,サヤカチャン,リーチザクラウン,アップルトウショウ,牝,3,0,松岡正海,14,田所秀孝,芝,左,2400m,晴,良
17,8,オハナ,ディープインパクト,ハウオリ,牝,3,-2,藤岡康太,15,堀宣行,芝,左,2400m,晴,良
1,8,ワグネリアン,ディープインパクト,ミスアンコール,牡,3,-2,福永祐一,5,友道康夫,芝,左,2400m,晴,良
2,6,エポカドーロ,オルフェーヴル,ダイワパッション,牡,3,-2,戸崎圭太,4,藤原英昭,芝,左,2400m,晴,良
3,4,コズミックフォース,キングカメハメハ,ミクロコスモス,牡,3,-2,石橋脩,16,国枝栄,芝,左,2400m,晴,良
4,7,エタリオウ,ステイゴールド,ホットチャチャ,牡,3,4,H.ボウマン,13,友道康夫,芝,左,2400m,晴,良
5,4,ブラストワンピース,ハービンジャー,ツルマルワンピース,牡,3,10,池添謙一,2,大竹正博,芝,左,2400m,晴,良
6,1,ダノンプレミアム,ディープインパクト,インディアナギャル,牡,3,0,川田将雅,1,中内田充正,芝,左,2400m,晴,良
7,3,ゴーフォザサミット,ハーツクライ,ラグジャリー,牡,3,0,蛯名正義,7,藤沢和雄,芝,左,2400m,晴,良
8,7,ステルヴィオ,ロードカナロア,ラルケット,牡,3,2,C.ルメール,6,木村哲也,芝,左,2400m,晴,良
9,2,アドマイヤアルバ,ハーツクライ,エリドゥバビロン,牡,3,8,丸山元気,17,須貝尚介,芝,左,2400m,晴,良
10,5,ステイフーリッシュ,ステイゴールド,カウアイレーン,牡,3,-2,横山典弘,10,矢作芳人,芝,左,2400m,晴,良
11,1,タイムフライヤー,ハーツクライ,タイムトラベリング,牡,3,-4,内田博幸,14,松田国英,芝,左,2400m,晴,良
12,3,キタノコマンドール,ディープインパクト,ベネンシアドール,牡,3,-12,M.デムーロ,3,池江泰寿,芝,左,2400m,晴,良
13,8,サンリヴァル,ルーラーシップ,アンフィルージュ,牡,3,6,浜中俊,12,藤岡健一,芝,左,2400m,晴,良
14,7,グレイル,ハーツクライ,プラチナチャリス,牡,3,-8,岩田康誠,9,野中賢二,芝,左,2400m,晴,良
15,5,オウケンムーン,オウケンブルースリ,ムーンフェイズ,牡,3,-6,北村宏司,15,国枝栄,芝,左,2400m,晴,良
16,8,ジェネラーレウーノ,スクリーンヒーロー,シャンハイロック,牡,3,2,田辺裕信,8,矢野英一,芝,左,2400m,晴,良
17,6,ジャンダルム,Kitten s Joy,Believe,牡,3,-4,武豊,11,池江泰寿,芝,左,2400m,晴,良
18,2,テーオーエナジー,カネヒキリ,シルキークラフト,牡,3,4,藤岡康太,18,宮徹,芝,左,2400m,晴,良
1,5,モズアスコット,Frankel,India,牡,4,-6,C.ルメール,9,矢作芳人,芝,左,1600m,晴,良
2,2,アエロリット,クロフネ,アステリックス,牝,4,-2,戸崎圭太,5,菊沢隆徳,芝,左,1600m,晴,良
3,1,スワーヴリチャード,ハーツクライ,ピラミマ,牡,4,-10,M.デムーロ,1,庄野靖志,芝,左,1600m,晴,良
4,1,サトノアレス,ディープインパクト,サトノアマゾネス,牡,4,10,蛯名正義,7,藤沢和雄,芝,左,1600m,晴,良
5,8,サングレーザー,ディープインパクト,マンティスハント,牡,4,4,福永祐一,3,浅見秀一,芝,左,1600m,晴,良
6,3,ペルシアンナイト,ハービンジャー,オリエントチャーム,牡,4,8,川田将雅,2,池江泰寿,芝,左,1600m,晴,良
7,8,ウインガニオン,ステイゴールド,チャンネルワン,牡,6,0,津村明秀,14,西園正都,芝,左,1600m,晴,良
8,7,リスグラシュー,ハーツクライ,リリサイド,牝,4,-2,武豊,6,矢作芳人,芝,左,1600m,晴,良
9,5,レッドファルクス,スウェプトオーヴァーボード,ベルモット,牡,7,8,田辺裕信,8,尾関知人,芝,左,1600m,晴,良
10,4,ウエスタンエクスプレス,-,-,せん,6,-4,S.クリッパートン,11,J.サイズ,芝,左,1600m,晴,良
11,4,キャンベルジュニア,Encosta De Lago,Melito,牡,6,-6,石橋脩,10,堀宣行,芝,左,1600m,晴,良
12,3,レーヌミノル,ダイワメジャー,ダイワエンジェル,牝,4,2,和田竜二,15,本田優,芝,左,1600m,晴,良
13,6,ヒーズインラブ,ハービンジャー,シーズインクルーデッド,牡,5,2,藤岡康太,12,藤岡健一,芝,左,1600m,晴,良
14,2,ダッシングブレイズ,Kitten s Joy,Blazing Bliss,牡,6,-6,北村宏司,16,吉村圭司,芝,左,1600m,晴,良
15,6,リアルスティール,ディープインパクト,ラヴズオンリーミー,牡,6,0,岩田康誠,4,矢作芳人,芝,左,1600m,晴,良
16,7,ブラックムーン,アドマイヤムーン,ロイヤルアタック,牡,6,-6,秋山真一郎,13,西浦勝一,芝,左,1600m,晴,良
1,2,ミッキーロケット,キングカメハメハ,マネーキャントバイミーラヴ,牡,5,-4,和田竜二,7,音無秀孝,芝,右,2200m,晴,稍重
2,7,ワーザー,-,-,せん,7,-27,H.ボウマン,10,J.ムーア,芝,右,2200m,晴,稍重
3,1,ノーブルマーズ,ジャングルポケット,アイアンドユー,牡,5,0,高倉稜,12,宮本博,芝,右,2200m,晴,稍重
4,5,ヴィブロス,ディープインパクト,ハルーワスウィート,牝,5,0,福永祐一,3,友道康夫,芝,右,2200m,晴,稍重
5,4,ダンビュライト,ルーラーシップ,タンザナイト,牡,4,12,武豊,5,音無秀孝,芝,右,2200m,晴,稍重
6,2,サトノダイヤモンド,ディープインパクト,マルペンサ,牡,5,0,C.ルメール,1,池江泰寿,芝,右,2200m,晴,稍重
7,1,ステファノス,ディープインパクト,ココシュニック,牡,7,0,岩田康誠,11,藤原英昭,芝,右,2200m,晴,稍重
8,8,キセキ,ルーラーシップ,ブリッツフィナーレ,牡,4,-2,M.デムーロ,2,角居勝彦,芝,右,2200m,晴,稍重
9,4,パフォーマプロミス,ステイゴールド,アイルビーバウンド,牡,6,-4,戸崎圭太,4,藤原英昭,芝,右,2200m,晴,稍重
10,7,スマートレイアー,ディープインパクト,スノースタイル,牝,8,-2,松山弘平,13,大久保龍志,芝,右,2200m,晴,稍重
