着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,6,ノンコノユメ,トワイニング,ノンコ,せん,6,-6,内田博幸,4,加藤征弘,ダート,左,1600m,晴,良
2,7,ゴールドドリーム,ゴールドアリュール,モンヴェール,牡,5,-14,R.ムーア,1,平田修,ダート,左,1600m,晴,良
3,3,インカンテーション,シニスターミニスター,オリジナルスピン,牡,8,5,三浦皇成,6,羽月友彦,ダート,左,1600m,晴,良
4,8,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,牡,4,4,戸崎圭太,3,音無秀孝,ダート,左,1600m,晴,良
5,7,レッツゴードンキ,キングカメハメハ,マルトク,牝,6,4,幸英明,10,梅田智之,ダート,左,1600m,晴,良
6,5,キングズガード,シニスターミニスター,キングスベリー,牡,7,-6,藤岡佑介,12,寺島良,ダート,左,1600m,晴,良
7,4,メイショウスミトモ,ゴールドアリュール,ムゲン,牡,7,4,田辺裕信,15,南井克巳,ダート,左,1600m,晴,良
8,3,サウンドトゥルー,フレンチデピュティ,キョウエイトルース,せん,8,-3,F.ミナリク,11,高木登,ダート,左,1600m,晴,良
9,2,アウォーディー,Jungle Pocket,Heavenly Romance,牡,8,2,武豊,7,松永幹夫,ダート,左,1600m,晴,良
10,8,ベストウォーリア,Majestic Warrior,Flirtatious Miss,牡,8,0,C.ルメール,8,石坂正,ダート,左,1600m,晴,良
11,1,ケイティブレイブ,アドマイヤマックス,ケイティローレル,牡,5,0,福永祐一,5,目野哲也,ダート,左,1600m,晴,良
12,5,テイエムジンソク,クロフネ,マイディスカバリー,牡,6,-2,古川吉洋,2,木原一良,ダート,左,1600m,晴,良
13,2,ノボバカラ,アドマイヤオーラ,ノボキッス,牡,6,-8,石橋脩,16,天間昭一,ダート,左,1600m,晴,良
14,6,ロンドンタウン,カネヒキリ,フェアリーバニヤン,牡,5,10,岩田康誠,9,牧田和弥,ダート,左,1600m,晴,良
15,4,ララベル,ゴールドアリュール,ブリージーウッズ,牝,6,-16,真島大輔,14,荒山勝徳,ダート,左,1600m,晴,良
16,1,ニシケンモノノフ,メイショウボーラー,グリーンヒルコマチ,牡,7,-6,横山典弘,13,庄野靖志,ダート,左,1600m,晴,良
1,5,ファインニードル,アドマイヤムーン,ニードルクラフト,牡,5,-8,川田将雅,2,高橋義忠,芝,左,1200m,晴,良
