着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
3,1,ナムラクレア,ミッキーアイル,サンクイーン2,牝,3,-4,浜中俊,6,長谷川浩大,芝,右,1600m,晴,良
4,8,サークルオブライフ,エピファネイア,シーブリーズライフ,牝,3,6,M.デムーロ,2,国枝栄,芝,右,1600m,晴,良
5,3,ピンハイ,ミッキーアイル,レイテッド,牝,3,-8,高倉稜,13,田中克典,芝,右,1600m,晴,良
6,2,パーソナルハイ,ディープインパクト,パーソナルダイアリー,牝,3,-6,吉田豊,17,矢作芳人,芝,右,1600m,晴,良
7,6,ベルクレスタ,ドゥラメンテ,ベルアリュール2,牝,3,-4,吉田隼人,9,須貝尚介,芝,右,1600m,晴,良
8,2,アルーリングウェイ,ジャスタウェイ,アルーリングライフ,牝,3,0,藤岡佑介,5,藤岡健一,芝,右,1600m,晴,良
9,4,サブライムアンセム,ロードカナロア,パストフォリア,牝,3,2,岩田望来,11,藤原英昭,芝,右,1600m,晴,良
10,8,ナミュール,ハービンジャー,サンブルエミューズ,牝,3,-4,横山武史,1,高野友和,芝,右,1600m,晴,良
11,7,プレサージュリフト,ハービンジャー,シュプリームギフト,牝,3,-4,戸崎圭太,4,木村哲也,芝,右,1600m,晴,良
12,1,カフジテトラゴン,キズナ,カフジジュエル,牝,3,-8,古川吉洋,18,武英智,芝,右,1600m,晴,良
13,5,クロスマジェスティ,ディーマジェスティ,テンザンコノハナ,牝,3,2,武藤雅,15,水野貴広,芝,右,1600m,晴,良
14,8,フォラブリューテ,エピファネイア,ブルーメンブラット,牝,3,2,C.ルメール,12,宮田敬介,芝,右,1600m,晴,良
15,7,アネゴハダ,キズナ,イニシャルダブル,牝,3,-2,幸英明,16,佐々木晶三,芝,右,1600m,晴,良
16,5,ライラック,オルフェーヴル,ヴィーヴァブーケ,牝,3,6,福永祐一,10,相沢郁,芝,右,1600m,晴,良
17,7,ラズベリームース,ルーラーシップ,ワイルドラズベリー,牝,3,-20,池添謙一,14,林徹,芝,右,1600m,晴,良
18,6,ラブリイユアアイズ,ロゴタイプ,オープンユアアイズ,牝,3,4,坂井瑠星,8,黒岩陽一,芝,右,1600m,晴,良
1,7,オジュウチョウサン,ステイゴールド,シャドウシルエット,牡,11,-2,石神深一,1,和田正一郎,障害,芝,4250m,晴,稍重
2,1,ブラゾンダムール,ディープインパクト,メダリアダムール,牡,7,-8,西谷誠,3,松永幹夫,障害,芝,4250m,晴,稍重
3,2,マイネルレオーネ,ステイゴールド,ウェンブリー,牡,10,-4,平沢健治,5,清水久詞,障害,芝,4250m,晴,稍重
4,6,ケンホファヴァルト,マーベラスサンデー,エイシンパンジー,牡,9,-8,森一馬,2,森秀行,障害,芝,4250m,晴,稍重
5,8,ビレッジイーグル,ベーカバド,トキノナスティア,牡,5,0,大江原圭,4,竹内正洋,障害,芝,4250m,晴,稍重
6,4,サトノパシュート,ディープインパクト,キャンディネバダ,牡,5,-6,高田潤,7,高橋康之,障害,芝,4250m,晴,稍重
7,5,マイネルプロンプト,マツリダゴッホ,コスモクラッベ,せん,10,-6,白浜雄造,8,坂口智康,障害,芝,4250m,晴,稍重
8,8,キタノテイオウ,ルーラーシップ,トウカイベルタ,牡,7,-4,上野翔,9,和田雄二,障害,芝,4250m,晴,稍重
9,3,マイサンシャイン,ゴールドアリュール,フラッテローザ,牡,6,2,難波剛健,6,五十嵐忠男,障害,芝,4250m,晴,稍重
1,7,ジオグリフ,ドレフォン,アロマティコ,牡,3,-4,福永祐一,5,木村哲也,芝,右,2000m,曇,良
2,8,イクイノックス,キタサンブラック,シャトーブランシュ,牡,3,10,C.ルメール,3,木村哲也,芝,右,2000m,曇,良
3,6,ドウデュース,ハーツクライ,ダストアンドダイヤモンズ,牡,3,-8,武豊,1,友道康夫,芝,右,2000m,曇,良
4,1,ダノンベルーガ,ハーツクライ,コーステッド,牡,3,2,川田将雅,2,堀宣行,芝,右,2000m,曇,良
5,1,アスクビクターモア,ディープインパクト,カルティカ,牡,3,0,田辺裕信,6,田村康仁,芝,右,2000m,曇,良
6,6,オニャンコポン,エイシンフラッシュ,シャリオドール,牡,3,2,菅原明良,8,小島茂之,芝,右,2000m,曇,良
7,3,ジャスティンロック,リオンディーズ,フラワーロック,牡,3,-4,戸崎圭太,10,吉岡辰弥,芝,右,2000m,曇,良
8,7,ラーグルフ,モーリス,アバンドーネ,牡,3,2,丸田恭介,16,宗像義忠,芝,右,2000m,曇,良
9,5,ジャスティンパレス,ディープインパクト,パレスルーマー,牡,3,8,M.デムーロ,9,杉山晴紀,芝,右,2000m,曇,良
10,4,ダンテスヴュー,キングカメハメハ,クロウキャニオン,牡,3,4,吉田隼人,15,友道康夫,芝,右,2000m,曇,良
11,7,ビーアストニッシド,アメリカンペイトリオット,マオリオ,牡,3,-4,和田竜二,13,飯田雄三,芝,右,2000m,曇,良
12,8,マテンロウレオ,ハーツクライ,サラトガヴィーナス,牡,3,4,横山典弘,14,昆貢,芝,右,2000m,曇,良
13,2,キラーアビリティ,ディープインパクト,キラーグレイシス,牡,3,0,横山武史,4,斉藤崇史,芝,右,2000m,曇,良
14,4,ボーンディスウェイ,ハーツクライ,ウィンドハック,牡,3,-4,石橋脩,12,牧光二,芝,右,2000m,曇,良
15,3,グランドライン,ドゥラメンテ,グランシャルム,牡,3,-4,三浦皇成,17,高木登,芝,右,2000m,曇,良
16,8,デシエルト,ドレフォン,アドマイヤセプター,牡,3,2,岩田康誠,7,安田隆行,芝,右,2000m,曇,良
17,5,サトノヘリオス,エピファネイア,エアマグダラ,牡,3,-2,岩田望来,11,友道康夫,芝,右,2000m,曇,良
18,2,トーセンヴァンノ,ヴァンキッシュラン,トーセンソニア,牡,3,0,木幡巧也,18,小桧山悟,芝,右,2000m,曇,良
1,8,タイトルホルダー,ドゥラメンテ,メーヴェ,牡,4,-2,横山和生,2,栗田徹,芝,右,3200m,晴,稍重
2,8,ディープボンド,キズナ,ゼフィランサス,牡,5,-6,和田竜二,1,大久保龍志,芝,右,3200m,晴,稍重
3,4,テーオーロイヤル,リオンディーズ,メイショウオウヒ,牡,4,4,菱田裕二,4,岡田稲男,芝,右,3200m,晴,稍重
4,5,ヒートオンビート,キングカメハメハ,マルセリーナ,牡,5,-2,池添謙一,5,友道康夫,芝,右,3200m,晴,稍重
5,1,アイアンバローズ,オルフェーヴル,パレスルーマー,牡,5,-2,石橋脩,3,上村洋行,芝,右,3200m,晴,稍重
6,6,マイネルファンロン,ステイゴールド,マイネテレジア,牡,7,-12,松岡正海,14,手塚貴久,芝,右,3200m,晴,稍重
7,7,ロバートソンキー,ルーラーシップ,トウカイメガミ,牡,5,-12,伊藤工真,10,林徹,芝,右,3200m,晴,稍重
8,7,ヴァルコス,ノヴェリスト,ランズエッジ,牡,5,0,三浦皇成,17,友道康夫,芝,右,3200m,晴,稍重
9,3,メロディーレーン,オルフェーヴル,メーヴェ,牝,6,6,岩田望来,16,森田直行,芝,右,3200m,晴,稍重
10,5,トーセンカンビーナ,ディープインパクト,カンビーナ,牡,6,-2,藤岡康太,18,加藤征弘,芝,右,3200m,晴,稍重
11,3,マカオンドール,ゴールドシップ,ミリオンウィッシーズ,牡,4,-4,松山弘平,6,今野貞一,芝,右,3200m,晴,稍重
12,2,ディバインフォース,ワークフォース,ツクバビューティ,牡,6,-2,田辺裕信,12,寺島良,芝,右,3200m,晴,稍重
13,2,ユーキャンスマイル,キングカメハメハ,ムードインディゴ,牡,7,2,藤岡佑介,13,友道康夫,芝,右,3200m,晴,稍重
14,4,クレッシェンドラヴ,ステイゴールド,ハイアーラヴ,牡,8,-10,内田博幸,15,林徹,芝,右,3200m,晴,稍重
15,6,ハヤヤッコ,キングカメハメハ,マシュマロ,牡,6,-8,武豊,11,国枝栄,芝,右,3200m,晴,稍重
16,1,ハーツイストワール,ハーツクライ,レツィーナ,牡,6,-10,C.ルメール,7,国枝栄,芝,右,3200m,晴,稍重
17,7,タガノディアマンテ,オルフェーヴル,タガノレヴェントン,牡,6,0,幸英明,9,鮫島一歩,芝,右,3200m,晴,稍重
1,8,ダノンスコーピオン,ロードカナロア,レキシールー,牡,3,2,川田将雅,4,安田隆行,芝,左,1600m,曇,良
2,1,マテンロウオリオン,ダイワメジャー,パルテノン,牡,3,-2,横山典弘,3,昆貢,芝,左,1600m,曇,良
3,5,カワキタレブリー,ドレフォン,カフジビーナス,牡,3,-12,菅原明良,18,杉山佳明,芝,左,1600m,曇,良
4,2,セリフォス,ダイワメジャー,シーフロント,牡,3,4,福永祐一,1,中内田充正,芝,左,1600m,曇,良
5,6,インダストリア,リオンディーズ,インダクティ,牡,3,-2,D.レーン,2,宮田敬介,芝,左,1600m,曇,良
6,3,キングエルメス,ロードカナロア,ステラリード,牡,3,4,坂井瑠星,9,矢作芳人,芝,左,1600m,曇,良
7,7,ジャングロ,More Than Ready,Goodbye Stranger,牡,3,4,武豊,6,森秀行,芝,左,1600m,曇,良
8,3,トウシンマカオ,ビッグアーサー,ユキノマーメイド,牡,3,-4,戸崎圭太,11,高柳瑞樹,芝,左,1600m,曇,良
9,4,アルーリングウェイ,ジャスタウェイ,アルーリングライフ,牝,3,6,藤岡佑介,5,藤岡健一,芝,左,1600m,曇,良
10,4,タイセイディバイン,ルーラーシップ,ダイワスピリット,牡,3,-2,松若風馬,10,高野友和,芝,左,1600m,曇,良
11,2,ソリタリオ,モーリス,サブトゥエンティ,牡,3,8,鮫島克駿,13,西村真幸,芝,左,1600m,曇,良
12,5,ダンテスヴュー,キングカメハメハ,クロウキャニオン,牡,3,0,吉田隼人,12,友道康夫,芝,左,1600m,曇,良
13,8,ステルナティーア,ロードカナロア,ラルケット,牝,3,-4,池添謙一,14,木村哲也,芝,左,1600m,曇,良
14,6,セイクリッド,アメリカンペイトリオット,ケンアマツカゼ,牝,3,-2,菊沢一樹,17,大根田裕之,芝,左,1600m,曇,良
15,8,プルパレイ,イスラボニータ,マイジェン,牡,3,2,M.デムーロ,8,須貝尚介,芝,左,1600m,曇,良
16,7,オタルエバー,リオンディーズ,ルージュクール,牡,3,10,横山和生,15,中竹和也,芝,左,1600m,曇,良
17,1,ソネットフレーズ,エピファネイア,ボージェスト,牝,3,8,横山武史,7,手塚貴久,芝,左,1600m,曇,良
18,7,フォラブリューテ,エピファネイア,ブルーメンブラット,牝,3,4,大野拓弥,16,宮田敬介,芝,左,1600m,曇,良
