着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,3,カフェファラオ,American Pharoah,Mary s Follies,牡,5,6,福永祐一,2,堀宣行,ダート,左,1600m,小雨,重
2,8,テイエムサウスダン,サウスヴィグラス,ムービングアウト,牡,5,-8,岩田康誠,5,飯田雄三,ダート,左,1600m,小雨,重
3,6,ソダシ,クロフネ,ブチコ,牝,4,6,吉田隼人,4,須貝尚介,ダート,左,1600m,小雨,重
4,7,ソリストサンダー,トビーズコーナー,ラヴソースウィート,牡,7,0,戸崎圭太,6,高柳大輔,ダート,左,1600m,小雨,重
5,4,タイムフライヤー,ハーツクライ,タイムトラベリング,牡,7,2,横山武史,15,橋口慎介,ダート,左,1600m,小雨,重
6,3,レッドルゼル,ロードカナロア,フレンチノワール,牡,6,6,川田将雅,1,安田隆行,ダート,左,1600m,小雨,重
7,2,アルクトス,アドマイヤオーラ,ホシニイノリヲ,牡,7,4,田辺裕信,3,栗田徹,ダート,左,1600m,小雨,重
8,4,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,牡,8,9,松若風馬,12,音無秀孝,ダート,左,1600m,小雨,重
9,8,エアスピネル,キングカメハメハ,エアメサイア,牡,9,4,M.デムーロ,8,笹田和秀,ダート,左,1600m,小雨,重
10,6,ミューチャリー,パイロ,ゴッドビラブドミー,牡,6,-2,御神本訓史,11,矢野義幸,ダート,左,1600m,小雨,重
11,2,インティ,ケイムホーム,キティ,牡,8,2,武豊,7,野中賢二,ダート,左,1600m,小雨,重
12,5,サンライズホープ,マジェスティックウォリアー,オーパスクイーン,牡,5,-8,大野拓弥,14,羽月友彦,ダート,左,1600m,小雨,重
13,5,スワーヴアラミス,ハーツクライ,ベイトゥベイ,牡,7,-2,松田大作,9,須貝尚介,ダート,左,1600m,小雨,重
14,1,テオレーマ,ジャスタウェイ,スターズアラインド,牝,6,4,C.ルメール,10,石坂公一,ダート,左,1600m,小雨,重
15,1,ダイワキャグニー,キングカメハメハ,トリプレックス,せん,8,4,三浦皇成,13,菊沢隆徳,ダート,左,1600m,小雨,重
16,7,ケイティブレイブ,アドマイヤマックス,ケイティローレル,牡,9,-9,菅原明良,16,清水英克,ダート,左,1600m,小雨,重
1,1,ナランフレグ,ゴールドアリュール,ケリーズビューティ,牡,6,-12,丸田恭介,8,宗像義忠,芝,左,1200m,晴,重
2,5,ロータスランド,Point of Entry,Little Miss Muffet,牝,5,-8,岩田望来,5,辻野泰之,芝,左,1200m,晴,重
3,5,キルロード,ロードカナロア,キルシュワッサー,せん,7,-6,菊沢一樹,17,田村康仁,芝,左,1200m,晴,重
4,7,トゥラヴェスーラ,ドリームジャーニー,ジャジャマーチャン,牡,7,-2,鮫島克駿,7,高橋康之,芝,左,1200m,晴,重
5,8,メイケイエール,ミッキーアイル,シロインジャー,牝,4,-4,池添謙一,2,武英智,芝,左,1200m,晴,重
6,4,レシステンシア,ダイワメジャー,マラコスタムブラダ,牝,5,18,横山武史,1,松下武士,芝,左,1200m,晴,重
7,2,シャインガーネット,オルフェーヴル,ベルベットローブ,牝,5,2,田辺裕信,9,栗田徹,芝,左,1200m,晴,重
8,6,エイティーンガール,ヨハネスブルグ,センターグランタス,牝,6,0,秋山真一郎,15,飯田祐史,芝,左,1200m,晴,重
9,3,サンライズオネスト,ダイワメジャー,サイモンドルチェ,牡,5,-2,武豊,11,河内洋,芝,左,1200m,晴,重
9,7,ファストフォース,ロードカナロア,ラッシュライフ,牡,6,4,柴山雄一,16,西村真幸,芝,左,1200m,晴,重
11,4,ジャンダルム,Kitten s Joy,Believe,牡,7,4,荻野極,13,池江泰寿,芝,左,1200m,晴,重
12,8,グレナディアガーズ,Frankel,ウェイヴェルアベニュー,牡,4,-8,福永祐一,3,中内田充正,芝,左,1200m,晴,重
13,2,ライトオンキュー,Shamardal,グレイトタイミング,牡,7,6,横山典弘,14,昆貢,芝,左,1200m,晴,重
14,7,ダイアトニック,ロードカナロア,トゥハーモニー,牡,7,-4,岩田康誠,6,安田隆行,芝,左,1200m,晴,重
15,1,サリオス,ハーツクライ,サロミナ,牡,5,8,石橋脩,4,堀宣行,芝,左,1200m,晴,重
16,6,クリノガウディー,スクリーンヒーロー,クリノビリオネア,牡,6,-2,松岡正海,12,藤沢則雄,芝,左,1200m,晴,重
17,3,レイハリア,ロードカナロア,ライトリーチューン,牝,4,6,亀田温心,10,田島俊明,芝,左,1200m,晴,重
18,8,ダイメイフジ,アグネスデジタル,ダイメイダーク,牡,8,2,小沢大仁,18,森田直行,芝,左,1200m,晴,重
1,4,ポタジェ,ディープインパクト,ジンジャーパンチ,牡,5,2,吉田隼人,8,友道康夫,芝,右,2000m,曇,良
2,7,レイパパレ,ディープインパクト,シェルズレイ,牝,5,4,川田将雅,3,高野友和,芝,右,2000m,曇,良
3,5,アリーヴォ,ドゥラメンテ,エスメラルディーナ,牡,4,-2,武豊,7,杉山晴紀,芝,右,2000m,曇,良
4,5,ヒシイグアス,ハーツクライ,ラリズ,牡,6,9,池添謙一,5,堀宣行,芝,右,2000m,曇,良
5,2,ジャックドール,モーリス,ラヴァリーノ,牡,4,2,藤岡佑介,2,藤岡健一,芝,右,2000m,曇,良
6,1,スカーフェイス,ハーツクライ,スプリングサンダー,牡,6,4,岩田康誠,15,橋田満,芝,右,2000m,曇,良
7,8,アフリカンゴールド,ステイゴールド,ブリクセン,せん,7,0,国分恭介,11,西園正都,芝,右,2000m,曇,良
8,6,ステラリア,キズナ,ポリネイター,牝,4,0,福永祐一,10,斉藤崇史,芝,右,2000m,曇,良
9,3,エフフォーリア,エピファネイア,ケイティーズハート,牡,4,6,横山武史,1,鹿戸雄一,芝,右,2000m,曇,良
10,3,アカイイト,キズナ,ウアジェト,牝,5,2,幸英明,4,中竹和也,芝,右,2000m,曇,良
11,7,キングオブコージ,ロードカナロア,ファイノメナ,牡,6,10,横山典弘,6,安田翔伍,芝,右,2000m,曇,良
12,6,ショウナンバルディ,キングズベスト,バノヴィナ,牡,6,-2,坂井瑠星,16,松下武士,芝,右,2000m,曇,良
13,1,レッドジェネシス,ディープインパクト,リュズキナ,牡,4,-4,藤岡康太,12,友道康夫,芝,右,2000m,曇,良
14,8,マカヒキ,ディープインパクト,ウィキウィキ,牡,9,-2,岩田望来,13,友道康夫,芝,右,2000m,曇,良
15,2,ヒュミドール,オルフェーヴル,アヴェクトワ,せん,6,-6,M.デムーロ,14,小手川準,芝,右,2000m,曇,良
16,4,ウインマリリン,スクリーンヒーロー,コスモチェーロ,牝,5,-10,松岡正海,9,手塚貴久,芝,右,2000m,曇,良
1,4,スターズオンアース,ドゥラメンテ,サザンスターズ,牝,3,-4,川田将雅,7,高柳瑞樹,芝,右,1600m,晴,良
2,3,ウォーターナビレラ,シルバーステート,シャイニングサヤカ,牝,3,-14,武豊,3,武幸四郎,芝,右,1600m,晴,良
