着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,6,モズアスコット,Frankel,India,牡,6,0,C.ルメール,1,矢作芳人,ダート,左,1600m,晴,良
2,8,ケイティブレイブ,アドマイヤマックス,ケイティローレル,牡,7,4,長岡禎仁,16,杉山晴紀,ダート,左,1600m,晴,良
3,5,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,牡,6,10,松山弘平,3,音無秀孝,ダート,左,1600m,晴,良
4,8,ワンダーリーデル,スタチューオブリバティ,アストレアピース,牡,7,0,横山典弘,7,安田翔伍,ダート,左,1600m,晴,良
5,2,タイムフライヤー,ハーツクライ,タイムトラベリング,牡,5,-2,S.フォーリー,10,松田国英,ダート,左,1600m,晴,良
6,4,キングズガード,シニスターミニスター,キングスベリー,牡,9,-8,秋山真一郎,14,寺島良,ダート,左,1600m,晴,良
6,6,モジアナフレイバー,バトルプラン,ナスケンアイリス,牡,5,-3,繁田健一,11,福永敏,ダート,左,1600m,晴,良
8,5,ノンコノユメ,トワイニング,ノンコ,せん,8,3,真島大輔,9,荒山勝徳,ダート,左,1600m,晴,良
9,1,アルクトス,アドマイヤオーラ,ホシニイノリヲ,牡,5,8,田辺裕信,4,栗田徹,ダート,左,1600m,晴,良
10,4,ヴェンジェンス,カジノドライヴ,スペシャルクイン,牡,7,-4,幸英明,5,大根田裕之,ダート,左,1600m,晴,良
11,7,ミューチャリー,パイロ,ゴッドビラブドミー,牡,4,-1,御神本訓史,15,矢野義幸,ダート,左,1600m,晴,良
12,2,ワイドファラオ,ヘニーヒューズ,ワイドサファイア,牡,4,-8,福永祐一,6,角居勝彦,ダート,左,1600m,晴,良
13,1,ブルドッグボス,ダイワメジャー,リファールカンヌ,牡,8,-18,和田竜二,13,加用正,ダート,左,1600m,晴,良
14,3,インティ,ケイムホーム,キティ,牡,6,-4,武豊,2,野中賢二,ダート,左,1600m,晴,良
15,7,デルマルーヴル,パイロ,カリビアンロマンス,牡,4,0,M.デムーロ,8,戸田博文,ダート,左,1600m,晴,良
16,3,ミッキーワイルド,ロードカナロア,ワイルドラズベリー,牡,5,-6,北村友一,12,安田隆行,ダート,左,1600m,晴,良
1,8,モズスーパーフレア,Speightstown,Christies Treasure,牝,5,0,松若風馬,9,音無秀孝,芝,左,1200m,晴,重
2,4,グランアレグリア,ディープインパクト,タピッツフライ,牝,4,12,池添謙一,2,藤沢和雄,芝,左,1200m,晴,重
3,2,ダイアトニック,ロードカナロア,トゥハーモニー,牡,5,2,北村友一,4,安田隆行,芝,左,1200m,晴,重
4,6,クリノガウディー,スクリーンヒーロー,クリノビリオネア,牡,4,-2,和田竜二,15,藤沢則雄,芝,左,1200m,晴,重
5,8,シヴァージ,First Samurai,Indian Bay,牡,5,0,藤岡佑介,12,野中賢二,芝,左,1200m,晴,重
6,4,グルーヴィット,ロードカナロア,スペシャルグルーヴ,牡,4,-2,岩田康誠,13,松永幹夫,芝,左,1200m,晴,重
7,6,セイウンコウセイ,アドマイヤムーン,オブザーヴァント,牡,7,0,幸英明,6,上原博之,芝,左,1200m,晴,重
8,2,ティーハーフ,ストーミングホーム,ビールジャント,牡,10,8,国分優作,17,西浦勝一,芝,左,1200m,晴,重
9,1,ステルヴィオ,ロードカナロア,ラルケット,牡,5,-4,丸山元気,7,木村哲也,芝,左,1200m,晴,重
10,3,ダノンスマッシュ,ロードカナロア,スピニングワイルドキャット,牡,5,-4,川田将雅,3,安田隆行,芝,左,1200m,晴,重
11,1,アウィルアウェイ,ジャスタウェイ,ウィルパワー,牝,4,2,松山弘平,11,高野友和,芝,左,1200m,晴,重
12,5,タワーオブロンドン,Raven s Pass,スノーパイン,牡,5,-6,福永祐一,1,藤沢和雄,芝,左,1200m,晴,重
13,7,モズアスコット,Frankel,India,牡,6,0,M.デムーロ,5,矢作芳人,芝,左,1200m,晴,重
14,7,ナックビーナス,ダイワメジャー,レディトゥプリーズ,牝,7,-2,田辺裕信,14,杉浦宏昭,芝,左,1200m,晴,重
