着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
8,7,ヴェロックス,ジャスタウェイ,セルキス,牡,3,4,川田将雅,8,中内田充正,芝,右,2500m,曇,良
9,5,アーモンドアイ,ロードカナロア,フサイチパンドラ,牝,4,6,C.ルメール,1,国枝栄,芝,右,2500m,曇,良
10,2,エタリオウ,ステイゴールド,ホットチャチャ,牡,4,0,横山典弘,10,友道康夫,芝,右,2500m,曇,良
11,7,アルアイン,ディープインパクト,ドバイマジェスティ,牡,5,0,松山弘平,15,池江泰寿,芝,右,2500m,曇,良
12,1,スワーヴリチャード,ハーツクライ,ピラミマ,牡,5,10,O.マーフィー,5,庄野靖志,芝,右,2500m,曇,良
13,2,スティッフェリオ,ステイゴールド,シリアスアティテュード,牡,5,8,丸山元気,13,音無秀孝,芝,右,2500m,曇,良
14,8,アエロリット,クロフネ,アステリックス,牝,5,-2,津村明秀,12,菊沢隆徳,芝,右,2500m,曇,良
15,1,スカーレットカラー,ヴィクトワールピサ,ヴェントス,牝,4,-12,岩田康誠,11,高橋亮,芝,右,2500m,曇,良
16,6,クロコスミア,ステイゴールド,デヴェロッペ,牝,6,-4,藤岡佑介,16,西浦勝一,芝,右,2500m,曇,良
1,2,コントレイル,ディープインパクト,ロードクロサイト,牡,2,6,福永祐一,1,矢作芳人,芝,右,2000m,晴,良
2,4,ヴェルトライゼンデ,ドリームジャーニー,マンデラ,牡,2,2,O.マーフィー,3,池江泰寿,芝,右,2000m,晴,良
3,5,ワーケア,ハーツクライ,チェリーコレクト,牡,2,6,C.ルメール,2,手塚貴久,芝,右,2000m,晴,良
4,8,ラインベック,ディープインパクト,アパパネ,牡,2,10,岩田康誠,6,友道康夫,芝,右,2000m,晴,良
5,7,オーソリティ,オルフェーヴル,ロザリンド,牡,2,10,池添謙一,4,木村哲也,芝,右,2000m,晴,良
6,6,パンサラッサ,ロードカナロア,ミスペンバリー,牡,2,-2,坂井瑠星,12,矢作芳人,芝,右,2000m,晴,良
7,3,ブルーミングスカイ,ディープインパクト,ブルーミンバー,牡,2,0,田辺裕信,7,角居勝彦,芝,右,2000m,晴,良
8,7,ディアセオリー,サムライハート,サイレントベッド,牡,2,2,三浦皇成,11,高木登,芝,右,2000m,晴,良
9,1,ブラックホール,ゴールドシップ,ヴィーヴァブーケ,牡,2,10,石川裕紀人,5,相沢郁,芝,右,2000m,晴,良
10,8,ラグビーボーイ,エイシンフラッシュ,マチカネセキガハラ,牡,2,20,北村宏司,10,勢司和浩,芝,右,2000m,晴,良
11,4,ガロアクリーク,キンシャサノキセキ,ゴールドレリック,牡,2,6,丸山元気,9,上原博之,芝,右,2000m,晴,良
12,5,ナリノモンターニュ,ヴィクトワールピサ,オメガアイランド,牡,2,10,M.デムーロ,8,上原博之,芝,右,2000m,晴,良
13,6,クリノブレーヴ,オーシャンブルー,イースタリーブリーズ,牡,2,2,斎藤新,13,長谷川浩大,芝,右,2000m,晴,良
